id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,market_cap_mm
just-a-rock,rocco,Just a Rock,https://coin-images.coingecko.com/coins/images/38025/large/Photoroom-20240429_170643_%281%29.png?1716317301,5.722e-05,57221.0,5750.0,57221.0,1634.05,,,,,,,1000000000.0,1000000000.0,1000000000.0,0.00291505,-98.03706,2024-06-06T04:42:44.305Z,5.676e-05,0.81436,2024-08-29T02:01:26.121Z,,2024-08-29T08:31:53.038Z,0.057221
blue-guy,blue,Blue Guy,https://coin-images.coingecko.com/coins/images/39645/large/IMG_20240810_073513_639.png?1723412054,4.954e-05,49540.0,5830.0,49540.0,1999.06,5.441e-05,4.525e-05,2e-06,4.20677,1832.88,3.84195,1000000000.0,1000000000.0,1000000000.0,0.00066792,-92.58302,2024-08-11T21:37:36.635Z,1.061e-05,366.83119,2024-10-16T01:12:06.100Z,,2024-11-15T13:08:52.877Z,0.04954
pacato,pacato,Pacato,https://coin-images.coingecko.com/coins/images/50678/large/PACATO_200.jpg?1728701090,1.08532e-07,45658.0,5886.0,45658.0,7536.47,1.51477e-07,1.08391e-07,-3.169152078e-09,-2.83716,-1246.2477838327686,-2.65698,420690000000.0,420690000000.0,420690000000.0,1.45e-06,-92.50874,2024-10-12T06:01:28.120Z,3.2704e-08,231.42641,2024-10-17T11:46:11.082Z,,2024-11-15T13:13:25.152Z,0.045658
animated,am,Animated,https://coin-images.coingecko.com/coins/images/37820/large/240509_am_coin_transp.png?1715660615,4.453e-05,44532.0,5909.0,44532.0,12162.58,0.00010652,4.258e-05,-6.198964265399e-05,-58.19428,-62132.56365152011,-58.25029,1000000000.0,1000000000.0,1000000000.0,0.00062621,-92.88013,2024-05-19T20:55:04.344Z,1.156e-05,285.82273,2024-11-04T22:01:50.273Z,,2024-11-15T13:22:09.706Z,0.044532
moon-inu,moon,MOON INU,https://coin-images.coingecko.com/coins/images/36493/large/moon-200.png?1711612557,5.56065e-10,38255.0,6014.0,38642.0,1698.22,5.6075e-10,3.84659e-10,1.59432e-10,40.19654,11003.08,40.37479,68725799999999.0,69420000000000.0,69420000000000.0,1.89765e-07,-99.70749,2024-03-31T16:11:47.942Z,1.2084e-10,359.35775,2024-07-19T16:55:46.255Z,,2024-11-15T13:22:47.557Z,0.038642
farcaster-flower,flower,Farcaster Flower,https://coin-images.coingecko.com/coins/images/38726/large/200_200.png?1718745253,2.851e-05,28564.0,6152.0,28564.0,759.21,3.08e-05,2.709e-05,-2.29314054251e-06,-7.44492,-2239.0333386318525,-7.26892,1000000000.0,1000000000.0,1000000000.0,0.00028822,-90.0972,2024-06-20T05:27:20.137Z,9.01e-06,216.95638,2024-09-06T21:26:05.205Z,,2024-11-15T13:22:10.151Z,0.028564
roxy-frog,roxy,ROXY FROG,https://coin-images.coingecko.com/coins/images/38170/large/ROXY.jpg?1716703909,2.72e-06,23015.0,6221.0,23015.0,2625.89,3e-06,2.61e-06,-2.28163127565e-07,-7.74181,-1931.2937425461823,-7.74181,8464530457.460582,8464530457.460582,10000000000.0,0.00022997,-98.81768,2024-06-06T04:46:13.507Z,1.54e-06,76.93571,2024-09-05T09:01:27.432Z,,2024-11-15T12:53:35.305Z,0.023015
nomad,nom,Nomad,https://coin-images.coingecko.com/coins/images/37872/large/NOM_LOGO.jpeg?1715829131,1.675e-05,16779.07,6330.0,16779.07,651.26,1.887e-05,1.678e-05,-2.025968023219e-06,-10.79225,-1993.360874812548,-10.61856,1000000000.0,1000000000.0,1000000000.0,0.00035289,-94.924,2024-05-29T22:12:28.581Z,8.93e-06,100.68978,2024-11-04T22:01:53.565Z,,2024-11-15T13:22:09.175Z,0.01677907
based-bario,bario,Based Bario,https://coin-images.coingecko.com/coins/images/50719/large/bario.jpg?1728803763,0.00069015,0.0,,691134.0,160429.0,0.00081293,0.00068193,-0.000122777881149691,-15.10317,0.0,0.0,0.0,1000000000.0,1000000000.0,0.00091985,-25.65084,2024-11-13T03:19:01.801Z,0.00024552,178.54619,2024-10-31T05:49:07.030Z,,2024-11-15T13:24:07.760Z,0.691134
based-2,based,BASED,https://coin-images.coingecko.com/coins/images/39669/large/BASED.jpg?1723603780,1.169e-05,0.0,,879186.0,488800.0,1.273e-05,9.99e-06,-9.80554771566e-07,-7.73921,0.0,0.0,0.0,75273150000.0,75273150000.0,0.00014093,-91.76242,2024-08-14T03:30:39.674Z,5.5e-06,111.05729,2024-09-23T10:13:44.919Z,,2024-11-15T13:24:28.753Z,0.879186
