symbol,name,current_price,market_cap_rank,total_volume,price_change_percentage_24h,ath,ath_date,market_cap_mm,contract_address,meme,base_ecosystem,cat_themed,base_meme,dog_themed,farcaster_ecosystem,frog_themed,the_boy’s_club,solana_ecosystem,ai_meme,parody_meme,layer_3_(l3),bnb_chain_ecosystem,avalanche_ecosystem,arbitrum_ecosystem,ethereum_ecosystem,shibarium_ecosystem,hybrid_token_standards,solana_meme,politifi,launchpad,fantom_ecosystem,ton_ecosystem,ton_meme,country_themed_meme,polygon_ecosystem,gaming_(gamefi),nft,on_chain_gaming,erc_404,inscriptions,erc20i
elonrwa,ElonRWA,0.00079092,1051.0,6077516.0,0.31562,0.00085128,2024-11-16T03:05:41.291Z,27.743522,0xebff2db643cf955247339c8c6bcd8406308ca437,1.0,1.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mochi,Mochi,2.522e-05,1095.0,1078942.0,52.35207,8.118e-05,2024-03-26T08:26:28.517Z,25.279334,0xf6e932ca12afa26665dc4dde7e27be02a7c02e50,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
normie,NORMIE,0.02528349,1114.0,1709689.0,24.75217,0.219147,2024-03-26T00:49:27.134Z,24.618759,0x47b464edb8dc9bc67b5cd4c9310bb87b773845bd,1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
toby,Toby ToadGod,6.3306e-08,1122.0,251351.0,-8.05179,8.0647e-08,2024-04-11T00:30:02.406Z,23.922251,0xb8d98a102b0079b69ffbc760c8d857a31653e56e,0.0,1.0,0.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chad,Based Chad,0.00023586,1322.0,1141275.0,24.79851,0.00026802,2024-11-13T16:51:59.078Z,16.433219,0xb8d98a102b0079b69ffbc760c8d857a31653e56e,0.0,1.0,0.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
andy,Andy,0.01602709,1347.0,575848.0,24.3099,0.04575116,2024-06-07T14:37:30.247Z,15.903491,0x18a8bd1fe17a1bb9ffb39ecd83e9489cfd17a022,1.0,1.0,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
boomer,Boomer,0.01587274,1382.0,2738834.0,88.65977,0.061015,2024-05-04T15:18:23.526Z,14.712926,0xcde172dc5ffc46d228838446c57c1227e0b82049,1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
floppa,Floppa Cat,0.01444663,1390.0,599433.0,6.00485,0.01677971,2024-11-15T14:00:34.825Z,14.546978,0x776aaef8d8760129a0398cf8674ee28cefc0eab9,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lucky,Lucky Dog,0.00163101,1477.0,194949.0,7.1677,0.00412234,2024-11-11T17:40:34.037Z,12.614581,0x2c002ffec41568d138acc36f5894d6156398d539,1.0,1.0,0.0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
peezy,Young Peezy AKA Pepe,0.01237469,1491.0,585528.0,45.04502,0.01746762,2024-04-28T00:59:03.640Z,12.374692,0x1b6a569dd61edce3c383f6d565e2f79ec3a12980,1.0,1.0,0.0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
